filename	acq_time
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-12T11:59:46.145682Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-12T12:00:33.642619Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-12T12:01:19.747926Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-12T12:02:07.461652Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-12T12:02:55.063773Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-12T12:03:44.367529Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-12T12:04:32.048046Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-12T12:05:18.097028Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-12T12:06:04.212520Z
eeg/sub-P003_ses-S002_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-12T12:06:50.477494Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-001_eeg.edf	2025-09-12T11:59:16.291391Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-002_eeg.edf	2025-09-12T12:00:08.930137Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-003_eeg.edf	2025-09-12T12:00:55.652116Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-004_eeg.edf	2025-09-12T12:01:42.499094Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-005_eeg.edf	2025-09-12T12:02:30.285094Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-006_eeg.edf	2025-09-12T12:03:18.647092Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-007_eeg.edf	2025-09-12T12:04:06.121023Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-008_eeg.edf	2025-09-12T12:04:54.306210Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-009_eeg.edf	2025-09-12T12:05:39.730769Z
eeg/sub-P003_ses-S002_task-MI+Eyes Open_run-010_eeg.edf	2025-09-12T12:06:26.068369Z
