filename	acq_time
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-001_eeg.edf	2025-09-05T16:24:34.098702Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-002_eeg.edf	2025-09-05T16:25:18.665710Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-003_eeg.edf	2025-09-05T16:26:53.930983Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-004_eeg.edf	2025-09-05T16:27:39.324878Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-005_eeg.edf	2025-09-05T16:28:48.883905Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-006_eeg.edf	2025-09-05T16:29:47.591580Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-007_eeg.edf	2025-09-05T16:30:36.253117Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-008_eeg.edf	2025-09-05T16:31:23.999531Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-009_eeg.edf	2025-09-05T16:32:12.136356Z
eeg/sub-P002_ses-S001_task-MI+Eyes Closed_run-010_eeg.edf	2025-09-05T16:32:59.634907Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-001_eeg.edf	2025-09-05T16:24:10.082617Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-002_eeg.edf	2025-09-05T16:24:55.767610Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-003_eeg.edf	2025-09-05T16:26:07.653167Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-004_eeg.edf	2025-09-05T16:27:15.890426Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-005_eeg.edf	2025-09-05T16:28:23.179413Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-006_eeg.edf	2025-09-05T16:29:21.819405Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-007_eeg.edf	2025-09-05T16:30:10.166433Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-008_eeg.edf	2025-09-05T16:30:59.933979Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-009_eeg.edf	2025-09-05T16:31:45.903623Z
eeg/sub-P002_ses-S001_task-MI+Eyes Open_run-010_eeg.edf	2025-09-05T16:32:34.936552Z
